player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Darius Bazley,bazleda01,2021,2983,1402,-4.532300823199896,-.4605477696540409,-4.992848592853937,-3.286325046248772,-1.109267721561156,-4.395592767809927,-4.438803415443773,-.5997848110741308,-5.038588226517904,-1.641875790580904,-1.641875790580904,0,-4.539700994288877,-1.457057766118669,-5.996758760407546,.2987948684650512
Bradley Beal,bealbr01,2021,4057,1853,4.918762182741388,-1.587423369186953,3.331338813554436,5.798611870600584,-4.829462275899674,.9691495947009097,5.482653227031504,-2.349477907882918,3.133175319148586,5.636049270710938,5.636049270710938,0,4.545929174311247,-1.947553878164463,2.598375296146784,1.344108957750358
Malik Beasley,beaslma01,2021,2582,1214,.8999990300297162,-2.551909833232427,-1.651910803202711,.8543815805263418,-1.261343643361721,-.4069620628353792,1.022681718557218,-2.417951872016771,-1.395270153459553,.8389096504072727,.8389096504072727,0,.966654841727049,-1.691531981708491,-.7248771399814422,-.0224522480373434
Jordan Bell,belljo01,2021,138,67,-6.594018752083724,.0082126787160914,-6.585806073367633,-10.65534708509669,-.5022200034127728,-11.15756708850946,-7.830766896490917,-.0649915190845514,-7.895758415575467,-.174678587949889,-.174678587949889,0,-8.518616378926657,-.749511737882347,-9.268128116809004,-.7003550118192622
DeAndre' Bembry,bembrde01,2021,1504,714,-2.590886098932546,-.1240626470060781,-2.714948745938624,-1.796208308326496,2.511175838772851,.7149675304463546,-2.612803520673802,.4317198937867396,-2.181083626887062,.2076605580350974,.2076605580350974,0,-3.144774242586152,-.5285812068525737,-3.673355449438726,.2016133355489783
Davis Bertans,bertada01,2021,2556,1152,2.205167438346342,-1.05398866896281,1.151178769383532,2.755436705773451,-.0481830084202171,2.707253697353234,2.469948773885791,-.8954187950848493,1.574529978800941,2.55309346837614,2.55309346837614,0,1.980897037664927,-.8275580707839915,1.153338966880936,.4505335092901451
Patrick Beverley,beverpa01,2021,1481,726,-.03675319453346,-.0801886384903992,-.1169418330238593,.6302355807782618,3.432274597346767,4.062510178125029,.0477554435122889,.6292491290476843,.6770045725599732,1.261559800937706,1.261559800937706,0,.4149621694495949,2.015587720778238,2.430549890227832,-.6216350892800462
Saddiq Bey,beysa01,2021,3217,1550,-.550042795223847,-2.250448912738811,-2.800491707962658,-3.424048076010372,.7935856866712744,-2.630462389339097,-1.150142124746325,-1.748339390184106,-2.898481514930431,-.1172596178795699,-.1172596178795699,0,-1.99433650591067,-1.78961106630755,-3.78394757221822,-.1383902085557199
Tyler Bey,beyty01,2021,87,38,-7.751249080443389,-6.229502687687172,-13.98075176813056,-20.39580076172388,8.568740665021911,-11.82706009670197,-10.89713956676285,-3.526837190377565,-14.42397675714041,-.2256723079178483,-.2256723079178483,0,-8.121232924878916,-3.986515020240592,-12.10774794511951,-.2933799243007801
Khem Birch,birchkh01,2021,2423,1165,-1.850656475941274,2.241660238049613,.3910037621083399,-1.389302441520317,2.638708921161893,1.249406479641576,-1.829002954081424,2.510488332153255,.6814853780718308,2.028213957414844,2.028213957414844,0,-2.566259804740089,1.456024499223146,-1.110235305516943,-.8045115917087109
Goga Bitadze,bitadgo01,2021,927,419,.2356438526976304,-.7961216001753119,-.5604777474776815,.4595674886505348,-.9204205553048336,-.4608530666542988,.3037541935238474,-.8725721417921467,-.5688179482682992,.4673482725736042,.4673482725736042,0,.3634076459158418,-.2335893339573889,.1298183119584529,.2312598175823019
Bismack Biyombo,biyombi01,2021,2333,1129,-5.090242191143445,.9378308113673324,-4.152411379776113,-5.72785799078751,-.0375660341104774,-5.765424024897987,-5.555680109247223,.801612992198115,-4.754067117049107,-1.146760205260988,-1.146760205260988,0,-5.599244503079165,-.5044410326886944,-6.103685535767859,-.6655259548425926
Nemanja Bjelica,bjeline01,2021,1127,537,-1.599979917668384,-3.462664870069841,-5.062644787738225,-2.548459200842032,-3.396396288655348,-5.944855489497381,-1.90440693432669,-3.589655585855493,-5.494062520182184,-.7541756755435474,-.7541756755435474,0,-1.826746860555424,-3.298674835712602,-5.125421696268027,-.0422343056316978
Eric Bledsoe,bledser01,2021,3754,1787,-1.043159407695242,-1.458291678361762,-2.501451086057004,.5953566303871133,-4.150117120880539,-3.554760490493426,-.7970114875170271,-2.082579705324308,-2.879591192841335,-.118572693671847,-.118572693671847,0,-.538201395854668,-1.753702964071201,-2.291904359925869,.359402671513307
Keljin Blevins,blevike01,2021,116,51,-8.957271909423138,-1.310312007213454,-10.26758391663659,-13.08882794341402,8.113473138542872,-4.975354804871144,-10.35770999508629,.6864735792932954,-9.671236415792999,-.182865062227877,-.182865062227877,0,-8.508089972809586,-2.641171456844774,-11.14926142965436,1.553689582212167
Bogdan Bogdanovic,bogdabo01,2021,2217,1073,2.003897619298266,.0289730735960598,2.032870692894326,1.002411997742187,-.0462297243102135,.9561822734319738,1.884215039413151,.0129106694734886,1.897125708886639,2.532923125152854,2.532923125152854,0,2.170999984879784,-.1427427311837427,2.028257253696041,-.4410638840207435
Bojan Bogdanovic,bogdabo02,2021,3887,1863,-.9379322527102439,-1.206366261999263,-2.144298514709507,-1.615002316083559,-2.367014129941113,-3.982016446024672,-1.204923262955387,-1.587740795348473,-2.79266405830386,-.0406464537569739,-.0406464537569739,0,-.8749889046926957,-1.944206994937414,-2.819195899630111,.234272788059414
Bol Bol,bolbo01,2021,294,128,-3.80552948119208,-.3604938716908962,-4.166023352882976,-11.47374466679326,-5.716388885090072,-17.19013355188333,-5.740442116992222,-1.535516227245939,-7.275958344238161,-.3000425654996308,-.3000425654996308,0,-4.12242559430374,-2.847952454601546,-6.970378048905286,1.526674555636221
Marques Bolden,boldema01,2021,60,29,-7.813204166642683,10.80110958404555,2.987905417402871,-19.15794289792775,18.58497176699566,-.5729711309320891,-10.59823276350852,13.13570008730745,2.537467323798925,.0778031097591805,.0778031097591805,0,-8.506680619069552,7.321705650256523,-1.184974968813029,-.5535601965144982
Jordan Bone,bonejo01,2021,414,196,-2.23102850430721,-5.914283892796953,-8.145312397104163,-5.200655062145899,-3.032696743463188,-8.23335180560909,-2.915645380335173,-5.659942898521361,-8.575588278856534,-.5737759614227572,-.5737759614227572,0,-3.532232938450722,-5.548785342074664,-9.081018280525386,-1.520412680647638
