Rank,Player,18/19,18/19*
323,Darius Miller,2205000.00,2255822.00
324,Henry Ellenson,2199311.00,2250001.00
325,Derrick Rose,2176260.00,2226419.00
325,Omri Casspi,2176260.00,2226419.00
327,Juan Hernangomez,2166360.00,2216291.00
328,Quincy Pondexter,2165481.00,2215392.00
328,Jonas Jerebko,2165481.00,2215392.00
330,Josh Okogie,2163600.00,2213468.00
331,Nik Stauskas,2161886.00,2211714.00
332,Terrance Ferguson,2118840.00,2167676.00
333,Raul Neto,2100000.00,2148402.00
334,Salah Mejri,2098196.00,2146556.00
335,Grayson Allen,2076960.00,2124831.00
336,Jarrett Allen,2034120.00,2081003.00
337,Isaiah Thomas,2029463.00,2076239.00
338,Spencer Hawes,2007058.00,2053317.00
339,Cole Aldrich,2000000.00,2046097.00
339,Torrey Craig,2000000.00,2046097.00
341,Chandler Hutchison,1991520.00,2037421.00
342,OG Anunoby,1952760.00,1997768.00
342,Ante Zizic,1952760.00,1997768.00
344,Shabazz Napier,1942422.00,1987192.00
345,Aaron Holiday,1914480.00,1958606.00
346,Timothe Luwawu,1880268.00,1923605.00
347,Tyler Lydon,1874640.00,1917847.00
348,Anfernee Simons,1837800.00,1880158.00
349,Tim Frazier,1832107.00,1874334.00
350,Trey Burke,1795015.00,1836387.00
351,Malik Beasley,1773840.00,1814724.00
352,Moritz Wagner,1764240.00,1804903.00
353,Nerlens Noel,1757429.00,1797935.00
353,Ian Clark,1757429.00,1797935.00
355,Deyonta Davis,1741503.00,1781641.00
356,Caleb Swanigan,1740000.00,1780104.00
356,Furkan Korkmaz,1740000.00,1780104.00
358,Landry Shamet,1705920.00,1745239.00
359,Caris LeVert,1702800.00,1742047.00
360,Jonah Bolden,1690000.00,1728952.00
360,Rodions Kurucs,1690000.00,1728952.00
362,Kyle Kuzma,1689840.00,1728788.00
363,Tony Bradley,1679520.00,1718230.00
364,Derrick White,1667160.00,1705585.00
365,Kyle Singler,1665333.00,1703716.00
366,Robert Williams,1656600.00,1694782.00
367,MarShon Brooks,1656092.00,1694262.00
